date,cash,positions_value,total_value,net_value,return,600036return,600036dividend,000333return,000333dividend,601919return,601919dividend,000858return,000858dividend,002602return,002602dividend,002555return,002555dividend,002466return,002466dividend,002460return,002460dividend,002738return,002738dividend
20240606,561894.7258000001,543174.0,1105068.7258000001,1.1050687258,105068.72580000013,-8403.499999999995,4379.76,37695.967200000014,11880.0,83241.06560000005,5140.8,-7464.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240607,561894.7258000001,543610.0,1105504.7258000001,1.1055047258000001,105504.72580000013,-8431.499999999995,4379.76,36255.967200000014,11880.0,86937.06560000002,5140.8,-9256.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240611,561894.7258000001,519496.0,1081390.7258000001,1.0813907258000002,81390.72580000013,-10195.499999999995,4379.76,35871.967200000014,11880.0,67673.06560000002,5140.8,-11958.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240612,561894.7258000001,516478.0,1078372.7258000001,1.0783727258000002,78372.72580000013,-10951.49999999998,4379.76,36255.967200000014,11880.0,65433.065600000016,5140.8,-12364.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240613,561894.7258000001,507720.0,1069614.7258000001,1.0696147258000002,69614.72580000013,-11707.499999999995,4379.76,33279.967200000014,11880.0,62745.065600000016,5140.8,-14702.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240614,561894.7258000001,517460.0,1079354.7258000001,1.0793547258,79354.72580000013,-8935.499999999995,4379.76,37335.967200000014,11880.0,64873.065600000016,5140.8,-13918.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240617,561894.7258000001,512551.0,1074445.7258000001,1.0744457258000002,74445.72580000013,-9159.50000000001,4379.76,34743.967200000014,11880.0,62745.065600000016,5140.8,-13883.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240618,561894.7258000001,518111.0,1080005.7258000001,1.0800057258000002,80005.72580000013,-9215.499999999995,4379.76,35487.967200000014,11880.0,68905.06560000002,5140.8,-15171.80700000003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240619,561894.7258000001,517670.0,1079564.7258000001,1.0795647258,79564.72580000013,-7983.4999999999945,4379.76,33471.967200000014,11880.0,69017.06560000002,5140.8,-14940.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240620,564213.1258000002,522032.0,1086245.1258,1.0862451258,86245.12580000004,-8375.499999999995,4379.76,34599.967200000014,11880.0,76375.46560000001,7459.200000000001,-16354.80700000003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240621,564213.1258000002,518740.0,1082953.1258,1.0829531258,82953.12580000004,-9243.49999999998,4379.76,33351.967200000014,11880.0,76599.46560000001,7459.200000000001,-17754.80700000003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240624,564213.1258000002,517885.0,1082098.1258,1.0820981258,82098.12580000004,-8207.499999999995,4379.76,35583.967200000014,11880.0,71895.46560000001,7459.200000000001,-17173.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240625,564213.1258000002,518617.0,1082830.1258,1.0828301258,82830.12580000004,-7563.500000000009,4379.76,36567.96720000004,11880.0,70663.46560000001,7459.200000000001,-16837.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240626,564213.1258000002,514966.0,1079179.1258,1.0791791258,79179.12580000004,-8235.499999999995,4379.76,34071.967200000014,11880.0,70327.46560000001,7459.200000000001,-16984.807,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240627,564213.1258000002,508747.0,1072960.1258,1.0729601258,72960.12580000004,-7675.4999999999945,4379.76,33711.967200000014,11880.0,65063.46560000001,7459.200000000001,-18139.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240628,564213.1258000002,513648.0,1077861.1258,1.0778611258,77861.12580000004,-7871.4999999999945,4379.76,34671.967200000014,11880.0,70327.46560000001,7459.200000000001,-19266.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240701,564213.1258000002,517018.0,1081231.1258,1.0812311258,81231.12580000004,-7395.4999999999945,4379.76,33687.967200000014,11880.0,74023.46560000001,7459.200000000001,-19084.807,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240702,564213.1258000002,521276.0,1085489.1258,1.0854891258000001,85489.12580000004,-5379.4999999999945,4379.76,31071.967200000014,11880.0,76599.46560000001,7459.200000000001,-16802.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240703,564213.1258000002,512724.0,1076937.1258,1.0769371258,76937.12580000004,-7115.4999999999945,4379.76,31143.967200000014,11880.0,70103.46560000001,7459.200000000001,-17194.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240704,564213.1258000002,517577.0,1081790.1258,1.0817901258,81790.12580000004,-6415.4999999999945,4379.76,34911.967200000014,11880.0,70775.46560000001,7459.200000000001,-17481.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240705,564213.1258000002,510425.0,1074638.1258,1.0746381258,74638.12580000004,-8739.499999999995,4379.76,33471.967200000014,11880.0,68535.46560000001,7459.200000000001,-18629.80700000003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240708,564213.1258000002,498741.0,1062954.1258,1.0629541258,62954.12580000004,-8431.499999999995,4379.76,34023.967200000014,11880.0,58119.46560000001,7459.200000000001,-20757.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240709,564213.1258000002,501929.0,1066142.1258,1.0661421258000001,66142.12580000004,-7087.4999999999945,4379.76,33711.967200000014,11880.0,59463.46560000001,7459.200000000001,-19945.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240710,564213.1258000002,499770.0,1063983.1258,1.0639831258,63983.12580000004,-6499.4999999999945,4379.76,33015.967200000014,11880.0,57783.46560000001,7459.200000000001,-20316.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240711,569182.5658000001,495856.0,1065038.5658,1.0650385658,65038.56579999998,-6514.059999999994,9349.2,33231.967200000014,11880.0,55879.46560000001,7459.200000000001,-17558.807000000015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240712,572124.6658000001,492028.0,1064152.6658,1.0641526658,64152.665800000075,-3434.059999999994,9349.2,35871.967200000014,11880.0,48487.46560000001,7459.200000000001,-16772.707000000017,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240715,572124.6658000001,490666.0,1062790.6658,1.0627906658000001,62790.665800000075,-4050.059999999994,9349.2,35727.967200000014,11880.0,47815.46560000001,7459.200000000001,-16702.707000000017,2942.1000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
